query_text,storeview_id,store_id,website_id,redirect,display_in_terms,is_external
Cigarettes,2,,,in-store-only-en,0,0
tobacco,2,,,in-store-only-en,0,0
cigarette,2,,,in-store-only-en,0,0
Marlboro,2,,,in-store-only-en,0,0
cig,2,,,in-store-only-en,0,0
amber leaf,2,,,in-store-only-en,0,0
cigar,2,,,in-store-only-en,0,0
terea,2,,,in-store-only-en,0,0
ciga,2,,,in-store-only-en,0,0
golden virginia,2,,,in-store-only-en,0,0
toba,2,,,in-store-only-en,0,0
tabaco,2,,,in-store-only-en,0,0
cigars,2,,,in-store-only-en,0,0
tabacco,2,,,in-store-only-en,0,0
camel,2,,,in-store-only-en,0,0
Malboro,2,,,in-store-only-en,0,0
Iqos,2,,,in-store-only-en,0,0
Amberleaf,2,,,in-store-only-en,0,0
cigare,2,,,in-store-only-en,0,0
Tabac,2,,,in-store-only-en,0,0
winston,2,,,in-store-only-en,0,0
zigaretten,2,,,in-store-only-en,0,0
snus,2,,,in-store-only-en,0,0
tobacc,2,,,in-store-only-en,0,0
taba,2,,,in-store-only-en,0,0
vape,2,,,in-store-only-en,0,0
marlboro gold,2,,,in-store-only-en,0,0
cigaret,2,,,in-store-only-en,0,0
cigarros,2,,,in-store-only-en,0,0
amber leaf tobacco,2,,,in-store-only-en,0,0
cigarrillos,2,,,in-store-only-en,0,0
Tobaco,2,,,in-store-only-en,0,0
cigarets,2,,,in-store-only-en,0,0
tobac,2,,,in-store-only-en,0,0
cigarett,2,,,in-store-only-en,0,0
lucky strike,2,,,in-store-only-en,0,0
Cigarro,2,,,in-store-only-en,0,0
heets,2,,,in-store-only-en,0,0
marlbo,2,,,in-store-only-en,0,0
Tabak,2,,,in-store-only-en,0,0
tobbaco,2,,,in-store-only-en,0,0
rolling tobacco,2,,,in-store-only-en,0,0
golden virginia tobacco,2,,,in-store-only-en,0,0
cigarr,2,,,in-store-only-en,0,0
Tabacc,2,,,in-store-only-en,0,0
tabbaco,2,,,in-store-only-en,0,0
cigarete,2,,,in-store-only-en,0,0
cigaretts,2,,,in-store-only-en,0,0
cigaretter,2,,,in-store-only-en,0,0
cigaretes,2,,,in-store-only-en,0,0
Cigarettes,3,,,in-store-only-es,0,0
tobacco,3,,,in-store-only-es,0,0
cigarette,3,,,in-store-only-es,0,0
Marlboro,3,,,in-store-only-es,0,0
cig,3,,,in-store-only-es,0,0
amber leaf,3,,,in-store-only-es,0,0
cigar,3,,,in-store-only-es,0,0
terea,3,,,in-store-only-es,0,0
ciga,3,,,in-store-only-es,0,0
golden virginia,3,,,in-store-only-es,0,0
toba,3,,,in-store-only-es,0,0
tabaco,3,,,in-store-only-es,0,0
cigars,3,,,in-store-only-es,0,0
tabacco,3,,,in-store-only-es,0,0
camel,3,,,in-store-only-es,0,0
Malboro,3,,,in-store-only-es,0,0
Iqos,3,,,in-store-only-es,0,0
Amberleaf,3,,,in-store-only-es,0,0
cigare,3,,,in-store-only-es,0,0
Tabac,3,,,in-store-only-es,0,0
winston,3,,,in-store-only-es,0,0
zigaretten,3,,,in-store-only-es,0,0
snus,3,,,in-store-only-es,0,0
tobacc,3,,,in-store-only-es,0,0
taba,3,,,in-store-only-es,0,0
vape,3,,,in-store-only-es,0,0
marlboro gold,3,,,in-store-only-es,0,0
cigaret,3,,,in-store-only-es,0,0
cigarros,3,,,in-store-only-es,0,0
amber leaf tobacco,3,,,in-store-only-es,0,0
cigarrillos,3,,,in-store-only-es,0,0
Tobaco,3,,,in-store-only-es,0,0
cigarets,3,,,in-store-only-es,0,0
tobac,3,,,in-store-only-es,0,0
cigarett,3,,,in-store-only-es,0,0
lucky strike,3,,,in-store-only-es,0,0
Cigarro,3,,,in-store-only-es,0,0
heets,3,,,in-store-only-es,0,0
marlbo,3,,,in-store-only-es,0,0
Tabak,3,,,in-store-only-es,0,0
tobbaco,3,,,in-store-only-es,0,0
rolling tobacco,3,,,in-store-only-es,0,0
golden virginia tobacco,3,,,in-store-only-es,0,0
cigarr,3,,,in-store-only-es,0,0
Tabacc,3,,,in-store-only-es,0,0
tabbaco,3,,,in-store-only-es,0,0
cigarete,3,,,in-store-only-es,0,0
cigaretts,3,,,in-store-only-es,0,0
cigaretter,3,,,in-store-only-es,0,0
cigaretes,3,,,in-store-only-es,0,0
Cigarettes,4,,,in-store-only-en,0,0
tobacco,4,,,in-store-only-en,0,0
cigarette,4,,,in-store-only-en,0,0
Marlboro,4,,,in-store-only-en,0,0
cig,4,,,in-store-only-en,0,0
amber leaf,4,,,in-store-only-en,0,0
cigar,4,,,in-store-only-en,0,0
terea,4,,,in-store-only-en,0,0
ciga,4,,,in-store-only-en,0,0
golden virginia,4,,,in-store-only-en,0,0
toba,4,,,in-store-only-en,0,0
tabaco,4,,,in-store-only-en,0,0
cigars,4,,,in-store-only-en,0,0
tabacco,4,,,in-store-only-en,0,0
camel,4,,,in-store-only-en,0,0
Malboro,4,,,in-store-only-en,0,0
Iqos,4,,,in-store-only-en,0,0
Amberleaf,4,,,in-store-only-en,0,0
cigare,4,,,in-store-only-en,0,0
Tabac,4,,,in-store-only-en,0,0
winston,4,,,in-store-only-en,0,0
zigaretten,4,,,in-store-only-en,0,0
snus,4,,,in-store-only-en,0,0
tobacc,4,,,in-store-only-en,0,0
taba,4,,,in-store-only-en,0,0
vape,4,,,in-store-only-en,0,0
marlboro gold,4,,,in-store-only-en,0,0
cigaret,4,,,in-store-only-en,0,0
cigarros,4,,,in-store-only-en,0,0
amber leaf tobacco,4,,,in-store-only-en,0,0
cigarrillos,4,,,in-store-only-en,0,0
Tobaco,4,,,in-store-only-en,0,0
